round,acc,loss,up_bytes,down_bytes
1,94.81,0.1300,6685502,0
2,97.22,0.0600,6683585,0
3,97.85,0.0400,6686958,0
4,97.95,0.0400,6684820,0
5,97.58,0.0500,6686185,0
6,98.01,0.0400,6683286,0
7,97.84,0.0400,6684973,0
8,97.83,0.0400,6685869,0
9,98.32,0.0300,6685945,0
10,98.11,0.0400,6685475,0
11,98.01,0.0400,6686881,0
12,98.07,0.0400,6685995,0
13,98.06,0.0400,6684993,0
14,98.08,0.0400,6684678,0
15,98.18,0.0400,6685378,0
16,98.06,0.0400,6685865,0
17,98.05,0.0400,6685381,0
18,98.31,0.0400,6686303,0
19,98.33,0.0400,6686277,0
