round,acc,loss,up_bytes,down_bytes
1,91.54,0.2980,888520,888520
2,95.13,0.1650,888520,888520
3,96.37,0.1160,888520,888520
4,97.09,0.0880,888520,888520
5,97.34,0.0780,888520,888520
6,97.55,0.0670,888520,888520
7,97.77,0.0600,888520,888520
8,98.01,0.0530,888520,888520
9,98.24,0.0480,888520,888520
10,98.15,0.0470,888520,888520
11,98.29,0.0450,888520,888520
12,98.47,0.0410,888520,888520
13,98.43,0.0400,888520,888520
14,98.65,0.0360,888520,888520
15,98.66,0.0340,888520,888520
16,98.69,0.0340,888520,888520
17,98.77,0.0320,888520,888520
18,98.87,0.0320,888520,888520
19,98.71,0.0330,888520,888520
20,98.92,0.0300,888520,888520
