round,acc,loss,up_bytes,down_bytes
1,96.35,0.1160,1777040,0
2,97.92,0.0600,1777040,0
3,98.26,0.0470,1777040,0
4,98.55,0.0420,1777040,0
5,98.66,0.0400,1777040,0
6,98.48,0.0420,1777040,0
7,98.72,0.0360,1777040,0
8,98.70,0.0350,1777040,0
9,98.78,0.0340,1777040,0
10,98.78,0.0350,1777040,0
11,98.86,0.0320,1777040,0
12,98.82,0.0350,1777040,0
13,98.59,0.0410,1777040,0
14,98.90,0.0360,1777040,0
15,98.69,0.0350,1777040,0
16,98.76,0.0340,1777040,0
17,98.83,0.0390,1777040,0
18,98.82,0.0370,1777040,0
19,98.80,0.0380,1777040,0
20,98.78,0.0420,1777040,0
21,98.82,0.0390,1777040,0
22,98.94,0.0370,1777040,0
23,98.96,0.0370,1777040,0
24,98.94,0.0480,1777040,0
